date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
12/05/2022,white,Easter,Thomas Rattray,"Bishop, 1743",6,White,,,,,2021,2022,C,2
13/05/2022,white,Easter,Friday after Fourth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
14/05/2022,red,Easter,St Matthias,Apostle,4,Red,,,,,2021,2022,C,2
15/05/2022,white,Easter,Fifth Sunday of Easter,Easter 5,1,White,,SPB Fourth Sunday after Easter,,,2021,2022,C,2
16/05/2022,white,Easter,Monday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
17/05/2022,white,Easter,Tuesday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
18/05/2022,white,Easter,Wednesday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
19/05/2022,white,Easter,Thursday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
20/05/2022,white,Easter,Friday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
21/05/2022,white,Easter,St Helena,"Mother of Constantine the Great, c.330",6,White,,,,,2021,2022,C,2
22/05/2022,white,Easter,Sixth Sunday of Easter,Easter 6,1,White,,SPB Fifth Sunday after Easter,,,2021,2022,C,2
23/05/2022,red,Easter,St William of Perth (or Rochester),"Martyr, 1201",6,Red,,,Rogation Day,,2021,2022,C,2
24/05/2022,white,Easter,Tuesday after Sixth Sunday of Easter,Feria,,White,,,Rogation Day,,2021,2022,C,2
25/05/2022,white,Easter,"St Bede the Venerable, of Jarrow","Teacher of the Faith, 735",6,White,,,Rogation Day,,2021,2022,C,2
26/05/2022,white,Easter,Ascension Day,Feast of the Ascension of Jesus Christ,1,White,,,,,2021,2022,C,2
27/05/2022,white,Easter,St Augustine of Canterbury,"Bishop, c.604",6,White,Translated from 26 May,,,,2021,2022,C,2
28/05/2022,white,Easter,Saturday after Sixth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
29/05/2022,white,Easter,Seventh Sunday of Easter,Easter 7,1,White,,SPB Sunday after Ascension Day,,,2021,2022,C,2
30/05/2022,white,Easter,Monday after Seventh Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
31/05/2022,white,Easter,The Visit of St Mary to St Elizabeth,,4,White,,,,,2021,2022,C,2
01/06/2022,red,Easter,St Justin of Rome,"Martyr, c.165",6,Red,,,,,2021,2022,C,2
02/06/2022,white,Easter,Thursday after Seventh Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
03/06/2022,red,Easter,"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977",Martyrs of Uganda,6,Red,,,,,2021,2022,C,2
04/06/2022,white,Easter,Pope John XXIII,"Bishop of Rome, Reformer, 1963",6,White,,,,,2021,2022,C,2
05/06/2022,red,Pentecost,The Day of Pentecost,Whitsunday,1,Red,,,,,2021,2022,C,2
06/06/2022,red,Pentecost,St Boniface of Mainz,"Bishop, Missionary and Martyr, 754",6,Red,Translated from 5 June,,,,2021,2022,C,2
07/06/2022,white,Pentecost,Tuesday after the Day of Pentecost (Whitsunday),Feria,,White,,,,,2021,2022,C,2
08/06/2022,white,Pentecost,St Ephrem the Syrian,"Deacon and Teacher of the Faith, 373",6,White,,,Ember Day,,2021,2022,C,2
09/06/2022,white,Pentecost,St Columba of Iona,"Abbot, 597",4,White,,,,,2021,2022,C,2
